title,blog_url,affiliate_link,mood_text
康熙帝,https://poupe.hatenadiary.jp/search?q=%B7%99%1D,https://www.amazon.co.jp/gp/video/detail/B0CX26BS9S?sr=1-1&pageTypeIdSource=ASIN&pageTypeId=B0CX2698R3&qid=1765528700921&linkCode=ll2&tag=poupe-22&linkId=7f40f64f80f2a58125d943131d7f9bec&language=ja_JP&ref_=as_li_ss_tl,"仲間, 家族愛, 泣ける, コメディ, 俳優"
祝卿好,https://poupe.hatenadiary.jp/search?q=%5D%7F%7D,https://www.amazon.co.jp/gp/video/detail/B0D1KCJ4K3?sr=1-1&pageTypeIdSource=ASIN&pageTypeId=B0D1KH8BRC&qid=1765528714493&linkCode=ll2&tag=poupe-22&linkId=adb40e2be08644e378575fbc4d7ef955&language=ja_JP&ref_=as_li_ss_tl,"ラブコメ, 仲間, 秘密, コメディ, 俳優, 女優"
似錦,https://poupe.hatenadiary.jp/search?q=%3C%26,,"ラブコメ, 復讐, 仲間, 秘密, コメディ, 甘い, シリアス, 癒し, 俳優"
夕月花,https://poupe.hatenadiary.jp/search?q=%15%08%B1,https://www.amazon.co.jp/gp/video/detail/B0B61S92TV?sr=1-1&pageTypeIdSource=ASIN&pageTypeId=B0B61TYKRM&qid=1765528735124&linkCode=ll2&tag=poupe-22&linkId=f2632ed7c20c9877b9883c7f2ab13a28&language=ja_JP&ref_=as_li_ss_tl,"復讐, 仲間, タイムスリップ, 俳優, 中国ドラマ, 華流"
FILTER 私と彼の複雑な事情,https://poupe.hatenadiary.jp/search?q=FILTER%20%C1%68%7C%6E%07%D1%6A%8B%C5,,"ファンタジー, ラブコメ, ホラー, 泣ける, 笑える, コメディ, ドキドキ, 俳優"
明月記,https://poupe.hatenadiary.jp/search?q=%0E%08%18,https://www.amazon.co.jp/gp/video/detail/B0FP5XQ74J?sr=1-1&pageTypeIdSource=ASIN&pageTypeId=B0FP6J8GND&qid=1765528749537&linkCode=ll2&tag=poupe-22&linkId=63e2db3a9078989ea493517d5c6a966a&language=ja_JP&ref_=as_li_ss_tl,"ラブコメ, 復讐, 笑える, コメディ, 俳優"
Be My Princess,https://poupe.hatenadiary.jp/search?q=Be%20My%20Princess,https://www.amazon.co.jp/gp/video/detail/B0CYC5HQJ7?sr=1-1&pageTypeIdSource=ASIN&pageTypeId=B0CYC49TPP&qid=1765528762182&linkCode=ll2&tag=poupe-22&linkId=e92e4265497223fabf316a8e0fac479a&language=ja_JP&ref_=as_li_ss_tl,"ラブコメ, 転生, 泣ける, 笑える, コメディ, 俳優, 女優"
あの日の君と,https://poupe.hatenadiary.jp/search?q=%42%6E%E5%6E%1B%68,,"ラブストーリー, 泣ける, イケメン, 俳優, 中国ドラマ, 華流"
素敵な恋の咲かせかた,https://poupe.hatenadiary.jp/search?q=%20%75%6A%4B%6E%B2%4B%5B%4B%5F,,"ファンタジー, ラブストーリー, ホラー, 家族愛, 師弟, 泣ける, 癒し, ドキドキ, イケメン, 俳優"
ロマンスは結婚のあとで,https://poupe.hatenadiary.jp/search?q=%ED%DE%F3%B9%6F%50%5A%6E%42%68%67,https://www.amazon.co.jp/gp/video/detail/B0B8TCPBT4?sr=1-1&pageTypeIdSource=ASIN&pageTypeId=B0B7G5G7Q9&qid=1765528777278&linkCode=ll2&tag=poupe-22&linkId=ab80a32947c9bf13cb2c61fd9863da0e&language=ja_JP&ref_=as_li_ss_tl,"ラブコメ, 偽装結婚, 笑える, コメディ, 癒し, ドキドキ, 俳優"
